Company Name,Sector,Profits in USD,AI Benefits,Ticker,Profit 2022,Profit 2024
Wells Fargo & Company,Banking,764182,"Fraud detection, investment analytics",WFC,13677000000.0,19142000000.0
Wendy's International Inc,Restaurants,569201,"Demand forecasting, customer analytics  ",WCC,860500000.0,765500000.0
Werner Enterprises Inc,Transportation,445615,"Fleet optimization, demand forecasting",WERN,241256000.0,112382000.0
WESCO International Inc,Wholesale,240690,"Inventory optimization, demand forecasting",WCC,860500000.0,765500000.0
Western Digital Inc,Technology,4201065,"Automated quality control, predictive maintenance",AABA,,
Western Gas Resources Inc,Oil and Gas  ,877026,"Pipeline monitoring, equipment maintenance optimization",AABA,,
WestPoint Stevens Inc,Manufacturing,973631,"Predictive maintenance, supply chain optimization",AABA,,
Weyerhauser Company,Manufacturing,751802,"Predictive maintenance, supply chain optimization",WY,1880000000.0,839000000.0
WGL Holdings Inc,Utilities,203861,"Infrastructure monitoring, demand forecasting",GWGH,,
Whirlpool Corporation,Manufacturing,859635,"Predictive maintenance, supply chain optimization",WHR,-1519000000.0,481000000.0
Whole Foods Market Inc,Retail,784007,"Inventory optimization, customer analytics",AABA,,
Willamette Industries Inc.,Manufacturing,694284,"Predictive maintenance, process optimization",AABA,,
Williams Companies Inc,Energy,994948,"Pipeline monitoring, predictive maintenance ",WMB,2049000000.0,3179000000.0
Williams Sonoma Inc,Retail,862437,"Recommendation engine, inventory optimization",WSM,1126337000.0,1127904000.0
Winn Dixie Stores Inc,Retail,563070,"Inventory optimization, demand forecasting",AABA,,
Wisconsin Energy Corporation,Energy,851000,"Infrastructure monitoring, demand forecasting",AA,-123000000.0,-651000000.0
Wm Wrigley Jr Company,Food Processing ,724863,"Demand forecasting, supply chain optimization",AEL,,
World Fuel Services Corporation,Energy,164889,"Demand forecasting, supply chain optimization",INT,,
WorldCom Inc,Telecommunications,702406,"Network optimization, predictive analytics",A,1254000000.0,1240000000.0
Worthington Industries Inc,Manufacturing ,654717,"Predictive maintenance, process optimization",WOR,379386000.0,256528000.0
WPS Resources Corporation,Energy,396692,"Infrastructure monitoring, predictive maintenance ",ECR,,
Wyeth,Healthcare,932311,"Drug discovery, precision medicine",NOT FOUND,,
Wyndham International Inc,Hospitality,392980,"Customer analytics, demand forecasting",AABA,,
Xcel Energy Inc,Energy,472267,"Infrastructure monitoring, predictive maintenance",XEL,1736000000.0,1771000000.0
Xerox Corp,Technology,7037687,"Process automation, predictive analytics  ",XRX,-322000000.0,1000000.0
Xilinx Inc,Technology,2778288,"Chip design automation, predictive maintenance",XLNX,,
XO Communications Inc,Telecommunications,849377,"Network optimization, customer analytics",GTT,,
Yellow Corporation,Transportation,146797,"Fleet optimization, demand forecasting",AAME,1525000.0,
York International Corp,Manufacturing,361526,"Predictive maintenance, process optimization",AAMC,,
Yum Brands Inc.,Restaurants,318063,"Demand forecasting, customer analytics",YUM,1325000000.0,1597000000.0
Zale Corporation,Retail,485729,"Inventory optimization, customer analytics",BLL,,
Zions Bancorporation,Banking  ,298552,"Fraud detection, investment analytics",ZION,907000000.0,680000000.0
Upgrade Inc,Consulting,326482,"Data analytics, process optimization",A,1254000000.0,1240000000.0
Samsara,Technology,3136239,"Equipment monitoring, predictive analytics",NOT FOUND,,
goodfood,Food Services,972473,"Demand forecasting, delivery optimization ",NOT FOUND,,
Rented,Real Estate  ,657484,"Property valuation, investment optimization",NOT FOUND,,
Outer Aisle,Food,749747,"Demand forecasting, supply chain optimization",NOT FOUND,,
UCG HomeBuyers of Pittsburgh,Real Estate,973898,"Property valuation, client matching",ACH,,
StayMarquis,Hospitality ,324381,"Pricing optimization, customer analytics",NOT FOUND,,
Propellant Media,Advertising,238427,"Ad targeting, campaign analytics  ",BATRA,-34172000.0,-125294000.0
Alivi,Healthcare,278487,"Diagnostics optimization, clinical workflow",NOT FOUND,,
Avanan,Technology,1946560,"Email security, predictive threat detection",NOT FOUND,,
SmileDirectClub,Healthcare,955183,"Treatment plan optimization, precision monitoring",NOT FOUND,,
springbig,Technology,4011945,"Customer analytics, personalized engagement",NOT FOUND,,
Supernova Technology,Technology,9450556,"Process automation, predictive analytics",ASX,61501545000.0,
Catalyst Experiential,Marketing  ,420833,"Campaign analytics, ad targeting",NOT FOUND,,
Sprinly,Ecommerce,967769,"Recommendation engine, demand forecasting ",NOT FOUND,,
Capitol Bridge,Consulting,533593,"Data analytics, process optimization",CFFN,84453000.0,-101659000.0
Spinnaker Consulting Group,Consulting,795403,"Data analytics, process optimization",ALG,101928000.0,136161000.0
Fair Price Properties,Real Estate  ,353947,"Property valuation, investment optimization",AWP,-181551692.0,-15539419.0
AdPushup,Advertising ,893678,"Ad targeting, campaign analytics",NOT FOUND,,
ESSNOVA Solutions Inc,Consulting,169092,"Data analytics, process optimization  ",OMN,,
Boxzooka,Manufacturing,868631,"Quality control automation, predictive maintenance",NOT FOUND,,
Qloo,Technology,8397832,"Content recommendation, predictive analytics",NOT FOUND,,
Sedera,Healthcare,747947,"Claims automation, utilization analysis ",NOT FOUND,,
App Samurai*,Technology,5791514,"Process automation, predictive analytics  ",NOT FOUND,,
Talent.com,HR Tech,221075,Candidate matching and ranking,AAMC,,
ORORO Heated Apparel,Apparel ,315986,"Demand forecasting, supply chain optimization",NOT FOUND,,
FactoryPure,Manufacturing,654938,"Predictive maintenance, quality control automation  ",NOT FOUND,,
Urgently,Healthcare Tech,373767,"Patient flow optimization, diagnostics assistance",NOT FOUND,,
Capital Brand Group,Marketing,381841,"Ad targeting, campaign optimization  ",ACBI,,
Facilitron,Technology,1119533,"Process automation, predictive analytics",NOT FOUND,,
Instafuel,Energy  ,560567,"Demand forecasting, predictive maintenance",NOT FOUND,,
Stojo,Manufacturing,429924,"Demand forecasting, supply chain optimization",NOT FOUND,,
Beyond Meat,Food,836928,"Demand forecasting, supply chain optimization",BBBY,,
AlphaPoint,Financial Services,638124,"Investment analytics, fraud detection",NOT FOUND,,
LIfeboost Coffee,Food,175855,"Demand forecasting, supply chain optimization  ",NOT FOUND,,
Flux Power,Energy,188297,"Battery optimization, predictive maintenance  ",AEP,2307200000.0,2208100000.0
PaymentCloud*,Financial Services  ,933834,"Fraud detection, transaction analytics",NOT FOUND,,
OwnBackup,Technology,8470542,"Data protection automation, predictive analytics",NOT FOUND,,
Spartan Investment Group,Financial Services,307384,"Investment analytics, portfolio optimization",AEL,,
Perishable Shipping Solutions,Logistics,260878,"Fleet optimization, demand forecasting",BR,539100000.0,630600000.0
Canadian Plasma Resources,Healthcare,587055,"Supply chain optimization, diagnostics optimization",ARTNA,17998000.0,16699000.0
Setna iO,Technology  ,990197,"Process automation, predictive analytics",NOT FOUND,,
HomeCraft Gutter Protection,Construction ,655322,"Project planning, predictive maintenance",NOT FOUND,,
Shapermint (Trafilea Group),Ecommerce,157833,"Recommendation engine, inventory optimization",ALG,101928000.0,136161000.0
ComplianceQuest,Consulting ,588038,"Process optimization, predictive analytics  ",NOT FOUND,,
FLEXE,Logistics,931714,"Supply chain optimization, demand forecasting",NOT FOUND,,
BookJane,Healthcare Tech,700296,"Scheduling optimization, patient matching",NOT FOUND,,
Light-it,Manufacturing,240019,"Predictive maintenance, process optimization",ITP,-16571308.0,-9946035.0
Packback,Education Tech  ,442861,"Content recommendation, student evaluation",NOT FOUND,,
BrillMedia.co,Advertising,286712,"Ad targeting, campaign optimization",AJG,1114200000.0,969500000.0
Arcalea,Healthcare,371935,"Drug discovery acceleration, precision medicine  ",NOT FOUND,,
Lemonaid Health,Healthcare,895846,Automated triage and diagnosis ,BHC,-225000000.0,-592000000.0
Clothes Bin Franchise,Retail,701948,"Inventory optimization, demand forecasting",NOT FOUND,,
DataCamp,Education Tech,560291,"Content recommendation, student evaluation",NOT FOUND,,
The Moresby Group,Real Estate,708927,"Property valuation, investment optimization",AAL,127000000.0,822000000.0
Metadata.io,Technology,3399188,"Data analytics, predictive analytics  ",NOT FOUND,,
Adsum Soluciones Tecnológicas,Consulting,202055,"Process optimization, predictive analytics",NOT FOUND,,
Resnick Roofing & Contracting,Construction,865797,"Project planning, predictive maintenance",NOT FOUND,,
Sunstone,Financial Services,363125,"Investment analytics, portfolio optimization",SHO,87289000.0,206708000.0
ShipBob,Logistics,731377,"Inventory optimization, delivery optimization  ",NOT FOUND,,
Exabeam,Technology,1761659,"Threat detection, IT process automation",NOT FOUND,,
Link Energy,Energy,967664,"Demand forecasting, predictive maintenance",AE,3487000.0,212000.0
IKIO LED Lighting,Manufacturing,390834,"Predictive maintenance, quality control automation",RVLT,,
China Metal Solutions,Manufacturing,805642,"Predictive maintenance, quality control automation  ",ACH,,
MaxLife,Insurance,146338,"Claims automation, policy pricing optimization",NOT FOUND,,
Capicua,Technology,7900600,"Process automation, predictive analytics  ",NOT FOUND,,
Cognitus Consulting,Consulting  ,685677,"Data analytics, process optimization",NOT FOUND,,
Lyft,Transportation,435425,"Demand forecasting, routing optimization  ",NOT FOUND,,
Key Tower LLC,Real Estate,562406,"Property valuation, investment optimization",AMT,1765800000.0,1483300000.0
Progyny,Healthcare,910262,"Patient matching, treatment optimization",NOT FOUND,,
SPENGA,Fitness,492659,"Customer analytics, workout personalization",NOT FOUND,,
Ayla Networks,Technology,3602269,"Data analytics, predictive analytics  ",CRNT,-19689000.0,6220000.0
Bambridge Accountants,Financial Services,408131,"Process automation, fraud detection",NOT FOUND,,
Blueback Global,Consulting,298477,"Data analytics, process optimization  ",ACWV,,
Bombas,Apparel,195947,"Demand forecasting, inventory optimization  ",NOT FOUND,,
Winning by Design,Consulting,541030,"Data analytics, process optimization",CDNS,848952000.0,1041144000.0
SolutionStack,Technology,6579108,"Process automation, predictive analytics",NOT FOUND,,
MagicLinks,Ecommerce Tech,614256,"Recommendation engine, ad targeting",NOT FOUND,,
Zolli Candy,Food,605471,"Demand forecasting, supply chain optimization",NOT FOUND,,
AUDIENCEX,Advertising,583943,"Ad targeting, campaign optimization",NOT FOUND,,
OppFi,Financial Services,785251,"Credit risk scoring, loan optimization  ",NOT FOUND,,
Digital Thrive,Consulting,492729,"Data analytics, process optimization",BLIN,2145000.0,-9435000.0
PM Consulting Group,Consulting,345945,"Data analytics, process optimization",AEY,,
PatientBond,Healthcare Tech,292614,Patient engagement optimization  ,NOT FOUND,,
dv01,Financial Services,140479,"Investment analytics, risk modeling",NOT FOUND,,
Impact Analytics,Consulting,272164,"Data analytics, predictive analytics",HMNY,,
Ecochlor,Manufacturing,310691,"Predictive maintenance, process optimization",NOT FOUND,,
Tierra Encantada,Real Estate,633230,"Property valuation, investment optimization",NOT FOUND,,
PeakActivity,Fitness Tech  ,116295,"Workout personalization, customer analytics",NOT FOUND,,
AGENCY672,Advertising,233988,"Ad targeting, campaign optimization",NOT FOUND,,
WEST ENGINEERING SAS,Engineering,913029,"Design optimization, predictive analytics",FLM,,
AirDNA,Travel Tech  ,678456,"Pricing optimization, occupancy forecasting",NOT FOUND,,
RedShelf,Education Tech,914511,"Content recommendation, student evaluation",NOT FOUND,,
Assertive Professionals,Staffing,907321,Candidate matching and ranking ,NOT FOUND,,
Rose Digital,Advertising  ,772538,"Ad targeting, campaign optimization",APPS,35546000.0,16673000.0
Pawstruck,Ecommerce,316455,"Recommendation engine, inventory optimization  ",NOT FOUND,,
Rocket Insights,Consulting,415964,"Data analytics, process optimization",RCKT,-221863000.0,-245595000.0
BluShark Digital,Advertising,269397,"Ad targeting, campaign optimization",DLR,377684000.0,948838000.0
Sigmoid,Consulting,777961,"Data analytics, predictive analytics  ",NOT FOUND,,
Salsify,Ecommerce Tech,909017,"Recommendation engine, inventory optimization",NOT FOUND,,
Prove,Financial Services,561720,"Fraud detection, identity verification",PRVB,,
Sweet Loren's,Food,471099,"Demand forecasting, supply chain optimization",ABEV,14457900000.0,14501900000.0
OROMETRO,Manufacturing  ,927414,"Predictive maintenance, process optimization",NOT FOUND,,
SparkOrange,Consulting,634547,"Data analytics, process optimization",ORAN,,
Orion Global Solutions,Consulting,132398,"Data analytics, process optimization  ",AGD,-26644776.0,6954637.0
Enshored,Consulting,451368,"Process automation, predictive analytics",NOT FOUND,,
MetaPhase Consulting,Consulting,371391,"Data analytics, process optimization  ",NOT FOUND,,
Ejis,Technology,9232845,"Data analytics, predictive analytics  ",NOT FOUND,,
Anuvia Plant Nutrients,Manufacturing,794693,"Quality control automation, predictive maintenance",NOT FOUND,,
CloudBolt Software,Technology  ,199165,"IT process automation, predictive analytics",AMSWA,,
BIO BOLSA,Manufacturing,212522,"Quality control automation, predictive maintenance",BIO,-3627535000.0,-637324000.0
Construcciones al Dia,Construction,935125,"Project planning, predictive analytics",NOT FOUND,,
LYFE Marketing,Advertising,553469,"Ad targeting, campaign optimization  ",NOT FOUND,,
Doing Good Works,Consulting  ,643197,"Data analytics, process optimization",AWK,820000000.0,944000000.0
Kraken Robotics,Manufacturing,589018,"Predictive maintenance, process optimization",CVRS,,
Botkeeper,Financial Services,670632,"Process automation, fraud detection  ",NOT FOUND,,
Urban Simple,Real Estate,413357,"Property valuation, investment optimization",UE,46170000.0,248497000.0
Fresh Consulting,Consulting,319997,"Data analytics, process optimization  ",FDP,98600000.0,-11400000.0
Proven Behavior Solutions,Consulting,886738,"Data analytics, process optimization",BR,539100000.0,630600000.0
Arvinas,Healthcare,579437,"Drug discovery acceleration, precision medicine",ARVN,-282500000.0,-367300000.0
Link Consulting Services,Consulting,706584,"Data analytics, process optimization",CCM,-489661000.0,-297658000.0
Wellbots,Healthcare Tech  ,555832,"Recommendation engine, inventory optimization",NOT FOUND,,
RenewAge,Healthcare,205306,"Patient care optimization, precision medicine  ",NOT FOUND,,
Ridgeline International,Consulting,486057,"Data analytics, process optimization",ARGO,,
iTechArt Group,Technology,9275016,"Process automation, predictive analytics",AAL,127000000.0,822000000.0
Mohawk Group,Ecommerce ,746724,"Recommendation engine, inventory optimization",AAL,127000000.0,822000000.0
Ondot Systems**,Financial Services,501942,"Fraud detection, transaction analytics",ADS,,
C Evans Consulting,Consulting  ,696999,"Data analytics, process optimization",AMOV,,
Lovebug Probiotics,Food,816258,"Demand forecasting, supply chain optimization  ",NOT FOUND,,
Alkami,Financial Services,897579,"Fraud detection, personalized recommendations",NOT FOUND,,
Media One Creative,Advertising  ,746768,"Ad targeting, campaign optimization",ATHM,1944786000.0,2033381000.0
Scientist.com,Healthcare Tech,794506,"Drug discovery acceleration, research optimization",AAMC,,
o9 Solutions,Consulting,167160,"Supply chain optimization, predictive analytics  ",ADES,,
Hennessey Digital,Advertising,658994,"Ad targeting, campaign optimization",PAGS,1504768000.0,1653684000.0
Ticketsauce,Events Tech,523658,"Pricing optimization, demand forecasting",NOT FOUND,,
Powur,Energy  ,500783,"Solar production optimization, predictive maintenance",NOT FOUND,,
Advanced Operations Partners,Consulting,329607,"Process optimization, predictive analytics  ",AM,326242000.0,
Grupo Albanesi,Energy  ,170110,"Equipment monitoring, predictive maintenance",ASR,9986548000.0,10203713000.0
IDC COMPONENTES,Manufacturing ,699166,"Predictive maintenance, quality control automation",NOT FOUND,,
Wachsman,Financial Services,833568,"Investment analytics, fraud detection  ",NOT FOUND,,
Zinobe,Consulting,133497,"Data analytics, process optimization  ",NOT FOUND,,
SOCi Inc,Advertising Tech,604129,"Ad targeting, campaign analytics",MSCI,870573000.0,1148592000.0
The Auto Cave,Retail,978329,"Inventory optimization, demand forecasting  ",AAP,464402000.0,29735000.0
Amerikas,Advertising  ,212814,"Ad targeting, campaign optimization",NOT FOUND,,
Dispatch,Logistics  ,550379,"Fleet routing optimization, demand forecasting",NOT FOUND,,
Traxxall,Logistics Tech,330700,"Fleet tracking, maintenance prediction",NOT FOUND,,
CONCRECIVIL,Construction,172587,"Project planning, predictive analytics",NOT FOUND,,
Avail**,Real Estate Tech  ,182059,"Property valuation, investment optimization",NOT FOUND,,
ComplianceLine,Legal Tech,425608,"Contract review automation, predictive analytics",NOT FOUND,,
SOLO NETWORK,Technology  ,978311,"Network optimization, predictive analytics",DISH,,
Mentor Collective,Education  ,317936,"Content recommendation, student evaluation ",NOT FOUND,,
TomboyX,Apparel,154437,"Demand forecasting, inventory optimization",NOT FOUND,,
GCubed Enterprises Inc,Consulting  ,856822,"Data analytics, process optimization",AABA,,
Klaris Group,Consulting  ,407016,"Data analytics, process optimization",AAL,127000000.0,822000000.0
Xtenfer Consulting,Consulting,123481,"Process automation, predictive analytics",NOT FOUND,,
Fundrise,Real Estate,708102,"Property valuation, investment optimization  ",NOT FOUND,,
Branded Group,Advertising,476840,"Ad targeting, campaign optimization",AAL,127000000.0,822000000.0
OneSoft Solutions,Technology,2920219,"Process automation, predictive analytics",ADES,,
RIWI,Technology  ,227836,"Data analytics, predictive analytics",NOT FOUND,,
ECIPSA,Manufacturing  ,816425,"Predictive maintenance, quality control automation",NOT FOUND,,
WLJ Advisors,Financial Services,778756,"Investment analytics, portfolio optimization  ",HNNA,6190000.0,4771000.0
Omega Geração,Energy ,714893,"Equipment monitoring, predictive maintenance",AOSL,453163000.0,12364000.0
Leedsay,Advertising  ,219351,"Ad targeting, campaign optimization",NOT FOUND,,
Coru,Fintech  ,868582,"Fraud detection, credit risk analysis",NOT FOUND,,
Merraine Group,Consulting ,406050,"Data analytics, process optimization",AAL,127000000.0,822000000.0
Inspire Investing,Financial Services,382477,"Investment analytics, portfolio optimization",INSP,-44881000.0,-21153000.0
US Mobile,Telecommunications ,452412,"Network optimization, customer analytics",ACWX,,
Virtuosity Consulting,Consulting,862463,"Data analytics, process optimization  ",NOT FOUND,,
Haytek Lentes,Manufacturing  ,585552,"Predictive maintenance, quality control automation",NOT FOUND,,
Findability Sciences,Consulting ,658842,"Data analytics, predictive analytics",ARYA,,
Memory.NET,Technology  ,607812,"Data analytics, predictive analytics",GNL,12023000.0,-211910000.0
Kisi,Technology,5500608,"Access control optimization, predictive analytics  ",NOT FOUND,,
Cognira,Technology,2436961,"Conversational AI, predictive analytics",NOT FOUND,,
Axiom Path,Consulting,564351,"Data analytics, process optimization  ",BPTH,-13868000.0,-16078000.0
DLP Real Estate Capital,Real Estate  ,886507,"Property valuation, investment optimization",ACRE,29785000.0,-38867000.0
VRTCAL,Technology,5324683,"Process automation, predictive analytics",NOT FOUND,,
C3.ai,Technology,2954616,Predictive analytics across applications,NOT FOUND,,
CFD INGENIERIA,Construction  ,641034,"Project planning, predictive analytics",NOT FOUND,,
Luxury Living Chicago Realty,Real Estate,777370,"Property valuation, investment optimization",ABR,325783000.0,371434000.0
Mynt Systems,Technology,7417253,"Process automation, predictive analytics",ADS,,
Rallio,Education Tech  ,581571,"Student evaluation, predictive analytics",NOT FOUND,,
Intellibright,Marketing Tech,619565,"Ad targeting, campaign optimization  ",NOT FOUND,,
VCRNOW,Technology  ,781335,"Video analytics, predictive analytics",NOT FOUND,,
The DVI Group,Financial Services,562252,"Investment analytics, portfolio optimization  ",AAL,127000000.0,822000000.0
JACUR SAS,Engineering  ,759908,"Design optimization, predictive analytics",NOT FOUND,,
Photo Booth International,Manufacturing  ,400556,"Predictive maintenance, quality control automation",BDSI,,
Tina Davies Professional,Consulting,584323,"Data analytics, process optimization",NOT FOUND,,
SingleStore,Technology,2537567,"Data analytics, predictive analytics  ",NOT FOUND,,
ICRYO*,Healthcare  ,882703,"Supply chain optimization, diagnostics optimization",NOT FOUND,,
Plataforma 10,Consulting  ,845398,"Data analytics, process optimization",AVD,27404000.0,7519000.0
HADA INTERNATIONAL,Manufacturing,241639,"Predictive maintenance, quality control automation",FWDI,,
Nyla Technology Solutions,Technology  ,214173,"Process automation, predictive analytics",ASX,61501545000.0,
LA New Product Development Team,Consulting  ,257747,"Data analytics, process optimization",BDCL,,
MouthWatch,Healthcare Tech  ,160057,Image recognition for dental analysis,NOT FOUND,,
FedWriters,Consulting,686602,"Content generation, predictive analytics  ",NOT FOUND,,
Washington Capital Partners,Financial Services  ,305841,"Investment analytics, portfolio optimization",AM,326242000.0,
The Disruptive Element,Consulting  ,136560,"Data analytics, process optimization",BDCL,,
STEP CG,Consulting,698229,"Data analytics, process optimization  ",NOT FOUND,,
Education Advanced,Education Tech  ,480976,"Content recommendation, student evaluation",ADES,,
Levio Conseils,Consulting,679001,"Data analytics, process optimization  ",NOT FOUND,,
Climb Credit,Financial Services,229599,"Credit risk analysis, loan optimization",ACP,-59724956.0,30270008.0
Snap,Technology  ,607153,"Image recognition, predictive analytics",SNA,911700000.0,1011100000.0
Volumetric Building Companies,Construction  ,559825,"Design optimization, project management",DGSE,,
Elder Care Homecare,Healthcare  ,160341,Care coordination optimization,CRCM,,
The Ricciardi Group,Real Estate,118782,"Property valuation, investment optimization",AEY,,
CoreCard Software,Financial Services,353069,"Fraud detection, credit analysis",AMSWA,,
Fundation (Linear Financial Technologies)***,Financial Services  ,324290,"Loan underwriting, fraud detection ",A,1254000000.0,1240000000.0
MatchBox Consulting Group,Consulting  ,926786,"Data analytics, process optimization",ALG,101928000.0,136161000.0
Chefman CHEF iQ,Manufacturing,948602,"Predictive maintenance, quality control automation  ",CROP,,
buyCASTING.com Inc,Entertainment Tech  ,560252,"Audition matching, process automation",AABA,,
Quálitas,Insurance  ,594825,"Claims automation, policy pricing optimization",NOT FOUND,,
RYU,Apparel,764587,"Demand forecasting, inventory optimization",NOT FOUND,,
ALTA SISTEMAS,Technology  ,422955,"Process automation, predictive analytics",AMR,1448545000.0,721956000.0
Active Cyber,Technology,4402282,"Threat detection, network optimization  ",BOND,,
Alphacore,Technology,1807430,"Process automation, predictive analytics",NOT FOUND,,
Shopify,Ecommerce Tech  ,507862,"Recommendation engine, inventory optimization",SHOP,-3460000000.0,132000000.0
ENO8,Advertising  ,167549,"Ad targeting, campaign optimization",NOT FOUND,,
Augurian,Consulting,444532,"Data analytics, process optimization",NOT FOUND,,
Blue Raven Solar,Energy,394008,"Production optimization, predictive maintenance ",APRN,,
Synergy Science,Healthcare,166685,"Drug discovery acceleration, precision medicine",BST,-654770313.0,290145231.0
Radicle,Agriculture Tech,958519,"Crop monitoring, yield prediction  ",NOT FOUND,,
AgAmerica Lending,Financial Services  ,317597,"Loan underwriting automation, fraud detection",OCSL,29223000.0,117331000.0
Digital Hyve,Advertising,247203,"Ad targeting, campaign optimization  ",APPS,35546000.0,16673000.0
Search Realty Corp.,Real Estate  ,937938,"Property valuation, investment optimization",AAMC,,
SteraMist,Manufacturing,962192,"Quality control automation, predictive maintenance ",NOT FOUND,,
Knesko Skin,Healthcare  ,700696,"Product development, marketing optimization",NUS,104778000.0,8595000.0
Green Standards,Consulting,333180,"Sustainability auditing, predictive analytics",CGA,,
PandaDoc,Technology,7911381,"Contract automation, predictive analytics",NOT FOUND,,
Zenlayer,Technology,5087893,"Infrastructure optimization, predictive analytics  ",NOT FOUND,,
Mightily,Education Tech  ,192435,"Content recommendation, student evaluation",NOT FOUND,,
Nuvolo,Technology,1621810,Workplace management optimization,NOT FOUND,,
Matrix Energia,Energy  ,861372,"Equipment monitoring, predictive maintenance",CPL,,
Uber,Transportation,436501,"Demand forecasting, route optimization",NOT FOUND,,
MongoDB,Technology  ,512538,"Data infrastructure optimization, predictive analytics",MDB,-306866000.0,-345398000.0
Seamans's Beverage and Logistics,Logistics,932798,"Fleet routing optimization, demand forecasting",AAN,,
SUGOI,Consulting,459564,"Data analytics, process optimization",NOT FOUND,,
Tiger Analytics,Consulting,566134,"Data analytics, predictive analytics  ",HMNY,,
Valemobi,Technology,9372403,"Customer analytics, personalized engagement",NOT FOUND,,
MIXT Solutions,Consulting  ,139789,"Data analytics, process optimization",ADES,,
NewFound Recruiting,HR Tech,532426,Candidate matching and ranking,NOT FOUND,,
Globaltex Fine Linens,Manufacturing ,659339,"Demand forecasting, predictive maintenance",NOT FOUND,,
eAssist Dental Solutions,Healthcare Tech,303161,Appointment scheduling optimization,BFAM,80641000.0,74223000.0
TAKTIK Logistics Group,Logistics  ,446003,"Fleet routing optimization, demand forecasting",AEY,,
King Tester,Manufacturing,143621,"Predictive maintenance, quality control automation  ",NOT FOUND,,
GridGain Systems,Technology  ,430183,"Data infrastructure optimization, predictive analytics",ADS,,
Tesla,Automotive  ,634996,"Predictive maintenance, autonomous driving",TSLA,12583000000.0,14999000000.0
DocuSign,Technology,3109412,"Document workflow automation, predictive analytics",DOCU,-69976000.0,-97454000.0
American Hometown Media,Advertising  ,253002,"Ad targeting, campaign optimization",ABEV,14457900000.0,14501900000.0
Compliancy Group,Consulting  ,998023,"Compliance automation, predictive analytics",AAL,127000000.0,822000000.0
Zoocasa,Real Estate Tech,123789,"Property valuation, client matching  ",NOT FOUND,,
Colaberry,Advertising,581150,"Ad targeting, campaign optimization",NOT FOUND,,
MatterHackers,Manufacturing  ,109622,"Demand forecasting, predictive maintenance",RH,688546000.0,528642000.0
Surgically Clean Air,Manufacturing,880007,"Quality control automation, predictive maintenance  ",AIRT,10928000.0,-12295000.0
VirVentures.com,Consulting  ,732593,"Data analytics, process optimization",AAMC,,
Mapleview Agri,Agriculture,178678,"Crop monitoring, yield prediction",NOT FOUND,,
NUVA,Healthcare  ,232311,"Patient care optimization, precision medicine",NUVA,,
5,Advertising  ,710910,"Ad targeting, campaign optimization",NOT FOUND,,
Cloudflare,Technology,2368930,"Security enhancement, predictive analytics",NOT FOUND,,
MAS DISEÑO Y MARKETING,Advertising,606772,"Ad targeting, campaign optimization  ",AVAL,2482885000000.0,739003000000.0
Rootstrap,Technology,4919090,"Process automation, predictive analytics",NOT FOUND,,
A.Life Group,Healthcare  ,481385,"Patient care optimization, precision medicine  ",AAL,127000000.0,822000000.0
PTM,Consulting,611162,"Data analytics, process optimization ",NOT FOUND,,
Lightenco,Manufacturing  ,469622,"Predictive maintenance, quality control automation",NOT FOUND,,
bestica,Consulting  ,263360,"Data analytics, process optimization",NOT FOUND,,
ClearSale,Technology  ,155760,"Fraud detection, predictive analytics",NOT FOUND,,
US Tech Solutions,Technology,3337520,"Process automation, predictive analytics",ACWX,,
Surex,Insurance  ,635887,"Claims automation, policy pricing optimization  ",NOT FOUND,,
Tacheny Exteriors,Construction,722075,"Project planning, predictive analytics",NOT FOUND,,
4S INGENIERIA,Engineering  ,571222,"Design optimization, predictive analytics",NOT FOUND,,
AV Mechanical,Construction  ,199705,"Project planning, predictive analytics",NOT FOUND,,
meQuilibrium,Healthcare Tech,827168,Health coaching optimization,NOT FOUND,,
GigSalad,Events Tech  ,826703,"Vendor matching, demand forecasting",NOT FOUND,,
CONALCABLES,Manufacturing  ,279852,"Predictive maintenance, quality control automation",NOT FOUND,,
WillowTree,Technology,8348142,"App optimization, predictive analytics",NOT FOUND,,
Gateway Multifamily,Real Estate  ,743870,"Property valuation, investment optimization",ATAX,,
Tricentis,Technology,3648958,"Software testing automation, predictive analytics",NOT FOUND,,
OptimizeRx**,Healthcare Tech  ,277166,"Pharma marketing optimization, analytics",OPRX,-11438440.0,-17566000.0
Empire Flippers,Financial Services,558385,"Business valuation, investment analytics  ",ESBA,63455000.0,84339000.0
Aspire Software,Technology  ,736111,"Process automation, predictive analytics",AMSWA,,
GLE,Consulting  ,966603,"Data analytics, process optimization",EGBN,140930000.0,100534000.0
Lockwood,Real Estate,863691,"Property valuation, investment optimization  ",NOT FOUND,,
Usebens Seguros S/A,Insurance  ,395081,"Claims automation, policy pricing optimization",AAN,,
CS-1 Transportation,Logistics,928953,"Fleet routing optimization, demand forecasting",ABEV,14457900000.0,14501900000.0
AGILISIUM CONSULTING,Consulting,509294,"Process optimization, predictive analytics  ",NOT FOUND,,
CHICC,Consulting  ,429684,"Data analytics, process optimization",NOT FOUND,,
CareDx,Healthcare,694555,"Diagnostics optimization, precision medicine",CDNA,-76613000.0,-190284000.0
Eravant,Healthcare  ,339792,"Drug development acceleration, clinical trial optimization",NOT FOUND,,
